date,obs_id,doy,migration_year,sic,day_index
30/10/2015,5,306,2015,87.90164,-3
31/10/2015,5,306,2015,94.362045,-2
01/11/2015,5,306,2015,97.626114,-1
02/11/2015,5,306,2015,75.16239,0
03/11/2015,5,306,2015,94.23116,1
04/11/2015,5,306,2015,100,2
05/11/2015,5,306,2015,97.85751,3
06/11/2015,5,306,2015,100,4
07/11/2015,5,306,2015,99.70421,5
08/11/2015,5,306,2015,99.84813,6
09/11/2015,5,306,2015,95.85409,7
10/11/2015,5,306,2015,100,8
11/11/2015,5,306,2015,100,9
12/11/2015,5,306,2015,91.239975,10
13/11/2015,5,306,2015,75.92842,11
14/11/2015,5,306,2015,73.649,12
15/11/2015,5,306,2015,88.79453,13
16/11/2015,5,306,2015,87.217896,14
17/11/2015,5,306,2015,98.51398,15
18/11/2015,5,306,2015,76.68383,16
19/11/2015,5,306,2015,28.344227,17
20/11/2015,5,306,2015,5.809662,18
21/11/2015,5,306,2015,51.70262,19
22/11/2015,5,306,2015,99.26455,20
23/11/2015,5,306,2015,95.83134,21
24/11/2015,5,306,2015,60.2447,22
25/11/2015,5,306,2015,37.486473,23
26/11/2015,5,306,2015,96.23341,24
27/11/2015,5,306,2015,97.706696,25
28/11/2015,5,306,2015,98.52772,26
29/11/2015,5,306,2015,100,27
30/11/2015,5,306,2015,99.29591,28
01/12/2015,5,306,2015,99.51684,29
02/12/2015,5,306,2015,100,30
03/12/2015,5,306,2015,100,31
04/12/2015,5,306,2015,100,32
05/12/2015,5,306,2015,100,33
06/12/2015,5,306,2015,100,34
07/12/2015,5,306,2015,99.43478,35
08/12/2015,5,306,2015,99.3497,36
09/12/2015,5,306,2015,97.625084,37
10/12/2015,5,306,2015,99.0727,38
11/12/2015,5,306,2015,100,39
12/12/2015,5,306,2015,99.22811,40
13/12/2015,5,306,2015,100,41
14/12/2015,5,306,2015,99.76174,42
15/12/2015,5,306,2015,100,43
16/12/2015,5,306,2015,96.95739,44
17/12/2015,5,306,2015,98.096985,45
27/09/2015,6,315,2015,0,-45
28/09/2015,6,315,2015,0,-44
29/09/2015,6,315,2015,0,-43
30/09/2015,6,315,2015,0,-42
01/10/2015,6,315,2015,0,-41
02/10/2015,6,315,2015,0,-40
03/10/2015,6,315,2015,0,-39
04/10/2015,6,315,2015,2.8466833,-38
05/10/2015,6,315,2015,11.303238,-37
06/10/2015,6,315,2015,2.20562,-36
07/10/2015,6,315,2015,0,-35
08/10/2015,6,315,2015,0,-34
09/10/2015,6,315,2015,0,-33
10/10/2015,6,315,2015,0,-32
11/10/2015,6,315,2015,0,-31
12/10/2015,6,315,2015,0,-30
13/10/2015,6,315,2015,2.9976149,-29
14/10/2015,6,315,2015,6.490479,-28
15/10/2015,6,315,2015,0,-27
16/10/2015,6,315,2015,0,-26
17/10/2015,6,315,2015,1.6418648,-25
18/10/2015,6,315,2015,27.560087,-24
19/10/2015,6,315,2015,75.48917,-23
20/10/2015,6,315,2015,33.718155,-22
21/10/2015,6,315,2015,44.111843,-21
22/10/2015,6,315,2015,91.54953,-20
23/10/2015,6,315,2015,79.79527,-19
24/10/2015,6,315,2015,2.940458,-18
25/10/2015,6,315,2015,1.069168,-17
26/10/2015,6,315,2015,15.415027,-16
27/10/2015,6,315,2015,44.97951,-15
28/10/2015,6,315,2015,83.287636,-14
29/10/2015,6,315,2015,95.69602,-13
30/10/2015,6,315,2015,100,-12
31/10/2015,6,315,2015,100,-11
01/11/2015,6,315,2015,95.88223,-10
02/11/2015,6,315,2015,83.29555,-9
03/11/2015,6,315,2015,90.30054,-8
04/11/2015,6,315,2015,100,-7
05/11/2015,6,315,2015,100,-6
06/11/2015,6,315,2015,100,-5
07/11/2015,6,315,2015,100,-4
08/11/2015,6,315,2015,100,-3
09/11/2015,6,315,2015,100,-2
10/11/2015,6,315,2015,100,-1
11/11/2015,6,315,2015,100,0
12/11/2015,6,315,2015,99.84085,1
13/11/2015,6,315,2015,96.385666,2
14/11/2015,6,315,2015,27.328981,3
15/11/2015,6,315,2015,73.62187,4
16/11/2015,6,315,2015,96.930466,5
17/11/2015,6,315,2015,76.66451,6
18/11/2015,6,315,2015,18.089472,7
19/11/2015,6,315,2015,0,8
20/11/2015,6,315,2015,0.85293305,9
21/11/2015,6,315,2015,12.721507,10
22/11/2015,6,315,2015,81.078964,11
23/11/2015,6,315,2015,93.55329,12
24/11/2015,6,315,2015,78.80351,13
25/11/2015,6,315,2015,93.50434,14
26/11/2015,6,315,2015,96.457146,15
27/11/2015,6,315,2015,100,16
28/11/2015,6,315,2015,99.624084,17
29/11/2015,6,315,2015,100,18
30/11/2015,6,315,2015,100,19
01/12/2015,6,315,2015,100,20
02/12/2015,6,315,2015,100,21
03/12/2015,6,315,2015,100,22
04/12/2015,6,315,2015,100,23
05/12/2015,6,315,2015,100,24
06/12/2015,6,315,2015,100,25
07/12/2015,6,315,2015,98.37951,26
08/12/2015,6,315,2015,97.460754,27
09/12/2015,6,315,2015,97.49837,28
10/12/2015,6,315,2015,98.83361,29
11/12/2015,6,315,2015,99.43435,30
12/12/2015,6,315,2015,100,31
13/12/2015,6,315,2015,100,32
14/12/2015,6,315,2015,99.6678,33
15/12/2015,6,315,2015,98.126,34
16/12/2015,6,315,2015,94.97811,35
17/12/2015,6,315,2015,97.87638,36
18/12/2015,6,315,2015,97.96033,37
19/12/2015,6,315,2015,97.64005,38
20/12/2015,6,315,2015,96.67264,39
21/12/2015,6,315,2015,98.213196,40
22/12/2015,6,315,2015,94.50976,41
23/12/2015,6,315,2015,95.50083,42
24/12/2015,6,315,2015,92.610794,43
25/12/2015,6,315,2015,97.62496,44
26/12/2015,6,315,2015,98.90498,45
30/09/2015,7,318,2015,2.5546603,-45
01/10/2015,7,318,2015,0,-44
02/10/2015,7,318,2015,0,-43
03/10/2015,7,318,2015,0,-42
04/10/2015,7,318,2015,7.4648056,-41
05/10/2015,7,318,2015,0,-40
06/10/2015,7,318,2015,4.2793713,-39
07/10/2015,7,318,2015,0,-38
08/10/2015,7,318,2015,9.6661,-37
09/10/2015,7,318,2015,0,-36
10/10/2015,7,318,2015,0,-35
11/10/2015,7,318,2015,0,-34
12/10/2015,7,318,2015,0,-33
13/10/2015,7,318,2015,0,-32
14/10/2015,7,318,2015,0,-31
15/10/2015,7,318,2015,0,-30
16/10/2015,7,318,2015,18.724974,-29
17/10/2015,7,318,2015,0,-28
18/10/2015,7,318,2015,0,-27
19/10/2015,7,318,2015,0,-26
20/10/2015,7,318,2015,4.218472,-25
21/10/2015,7,318,2015,11.104051,-24
22/10/2015,7,318,2015,86.03037,-23
23/10/2015,7,318,2015,25.340376,-22
24/10/2015,7,318,2015,22.801136,-21
25/10/2015,7,318,2015,8.3018055,-20
26/10/2015,7,318,2015,43.608963,-19
27/10/2015,7,318,2015,61.111404,-18
28/10/2015,7,318,2015,96.25926,-17
29/10/2015,7,318,2015,99.37895,-16
30/10/2015,7,318,2015,99.06956,-15
31/10/2015,7,318,2015,99.91258,-14
01/11/2015,7,318,2015,100,-13
02/11/2015,7,318,2015,96.930725,-12
03/11/2015,7,318,2015,98.6725,-11
04/11/2015,7,318,2015,100,-10
05/11/2015,7,318,2015,100,-9
06/11/2015,7,318,2015,100,-8
07/11/2015,7,318,2015,100,-7
08/11/2015,7,318,2015,100,-6
